model,learning_rate,batch_size,seq_len,units_1,units_2,time_sec,accuracy,precision,recall,f1,roc_auc,val_loss,stopped_epoch
lstm,0.0001,8,60,64,32,31.2,0.623641304347826,0.5882352941176471,0.03571428571428571,0.06734006734006734,0.552592418546366,0.8924246582874032,79
lstm,0.001,16,60,256,128,22.3,0.623641304347826,0.6,0.03214285714285714,0.061016949152542375,0.5706218671679197,0.8872396114260651,42
lstm,0.0001,8,15,128,64,14.3,0.624,0.5294117647058824,0.03180212014134275,0.06,0.5293429983126641,0.898938987191639,36
lstm,0.001,64,15,256,128,4.1,0.6226666666666667,0.5,0.03180212014134275,0.059800664451827246,0.5412716308139316,0.8961001843100718,48
lstm,0.001,16,15,256,128,10.1,0.6173333333333333,0.4090909090909091,0.03180212014134275,0.05901639344262295,0.5536883044165828,0.8958368718397481,36
lstm,0.0001,32,15,64,32,3.4,0.6173333333333333,0.4,0.028268551236749116,0.052805280528052806,0.5267060630594502,0.9010039354911775,33
lstm,0.001,16,60,128,64,8.8,0.6222826086956522,0.5833333333333334,0.025,0.04794520547945205,0.5721726190476191,0.8880011143610459,42
lstm,0.0001,16,60,64,32,16.3,0.6222826086956522,0.5833333333333334,0.025,0.04794520547945205,0.5507988721804511,0.8929749080377032,81
lstm,0.001,64,60,64,32,2.4,0.6209239130434783,0.5384615384615384,0.025,0.04778156996587031,0.5549498746867167,0.8926955184271169,38
lstm,0.0001,8,60,256,128,34.9,0.6209239130434783,0.5454545454545454,0.02142857142857143,0.041237113402061855,0.540374373433584,0.8932821528856144,34
lstm,0.0001,64,15,64,32,2.1,0.616,0.35294117647058826,0.02120141342756184,0.04,0.5297326745409009,0.9018527011001065,38
lstm,0.0001,8,15,64,32,11.4,0.6253333333333333,0.625,0.0176678445229682,0.03436426116838488,0.5204788099363655,0.899416232743644,29
lstm,0.0001,64,15,256,128,3.1,0.6226666666666667,0.5,0.0176678445229682,0.034129692832764506,0.5135932688160653,0.8999114972556952,36
lstm,0.0001,64,60,256,128,6.0,0.6222826086956522,0.75,0.010714285714285714,0.02112676056338028,0.5308701441102757,0.8951508915701578,39
lstm,0.0001,16,60,256,128,19.0,0.6195652173913043,0.5,0.010714285714285714,0.02097902097902098,0.5380952380952381,0.8937502387882204,36
lstm,0.0001,32,60,256,128,8.9,0.6195652173913043,0.0,0.0,0.0,0.5317747493734336,0.8955553927162822,32
